server_type,cooling_type,datacenter_region,time_of_day,workload_intensity,cpu_utilization,memory_utilization,network_throughput_gbps,inlet_temperature_c,cooling_efficiency,power_consumption_kw,carbon_emission_kg,compute_cost_usd,pue,energy_efficiency_class
Edge,Air,EU,Off-Peak,0.385,34.044,65.134,22.927,27.049,0.865,57.624,15.476,10.697,1.473,Medium
GPU,Air,EU,Off-Peak,0.849,70.587,55.72,13.23,26.142,0.936,107.615,29.481,20.631,1.105,High
Compute,Air,EU,Off-Peak,0.525,48.425,73.239,13.108,26.93,0.894,80.26,20.709,14.639,1.492,Medium
Compute,Hybrid,APAC,Peak,0.553,47.319,76.168,20.817,22.192,0.973,82.429,45.056,6.95,1.519,Medium
Compute,Hybrid,NA,Off-Peak,0.306,27.741,63.986,4.64,20.147,0.944,66.344,26.661,8.904,1.294,High
GPU,Air,NA,Off-Peak,0.684,59.746,80.992,13.039,19.412,0.886,102.222,39.41,12.42,1.141,High
Storage,Liquid,NA,Off-Peak,0.899,76.47,49.625,21.024,21.181,0.935,76.171,27.27,8.977,1.288,High
Compute,Air,NA,Night,0.397,52.532,77.335,12.035,24.853,0.818,126.778,51.895,15.671,1.615,Low
Compute,Air,NA,Peak,0.657,64.233,54.27,22.429,24.301,0.939,75.379,31.946,9.723,1.281,High
Compute,Air,NA,Off-Peak,0.399,40.573,37.156,12.034,20.353,0.901,65.189,28.646,7.38,1.486,Medium
Storage,Hybrid,NA,Peak,0.813,72.975,72.994,16.978,19.2,0.938,69.038,25.465,7.883,1.217,High
GPU,Hybrid,NA,Off-Peak,0.527,59.544,32.494,9.55,24.317,0.869,207.716,83.087,24.926,1.742,Low
Compute,Air,NA,Peak,0.406,45.548,63.872,12.255,22.483,0.836,77.915,29.109,9.191,1.343,High
Compute,Air,NA,Peak,0.478,39.639,72.82,16.422,21.97,0.794,65.229,25.985,7.11,1.703,Low
Compute,Air,EU,Night,0.182,21.399,36.361,31.985,16.372,0.618,55.492,13.427,10.221,1.353,Medium
Edge,Liquid,EU,Peak,0.88,70.044,58.287,22.801,22.726,0.77,70.267,17.785,11.839,1.289,High
Compute,Liquid,NA,Off-Peak,0.962,70.883,79.745,18.678,27.676,0.87,158.456,60.917,17.844,1.452,Medium
GPU,Air,EU,Night,0.53,39.709,52.164,6.601,23.19,0.842,112.745,24.584,20.095,1.422,Medium
Storage,Liquid,ME,Off-Peak,0.299,31.12,41.861,24.317,15.0,0.948,45.656,21.301,2.214,1.345,High
Compute,Air,ME,Peak,0.698,57.726,62.988,20.763,23.186,0.924,81.23,39.756,4.3,1.621,Low
Compute,Hybrid,NA,Peak,0.507,37.925,80.171,11.836,16.699,0.87,68.045,28.016,8.769,1.249,High
Compute,Liquid,APAC,Night,0.327,26.675,82.944,26.401,20.812,0.796,75.278,47.981,5.848,1.407,Medium
Storage,Air,NA,Peak,0.135,12.159,42.401,11.304,23.359,0.99,57.849,25.434,7.089,1.54,Medium
GPU,Liquid,NA,Off-Peak,0.901,77.368,87.312,26.354,19.882,1.0,139.174,55.766,16.782,1.241,High
Storage,Hybrid,NA,Off-Peak,0.817,67.936,86.794,13.967,21.073,0.869,61.182,26.186,7.621,1.542,Medium
Storage,Air,NA,Off-Peak,0.846,69.735,98.0,16.905,25.978,0.668,73.903,28.174,8.877,1.536,Low
Compute,Air,EU,Off-Peak,0.496,46.59,60.751,9.468,22.95,0.836,84.833,19.666,15.348,1.551,Low
Edge,Hybrid,EU,Peak,0.778,62.188,85.526,15.857,25.783,0.674,71.952,19.342,13.163,1.387,Medium
GPU,Air,APAC,Off-Peak,0.623,46.903,70.419,22.62,23.522,0.664,115.656,68.698,9.292,1.711,Low
Compute,Air,NA,Off-Peak,0.437,44.295,53.034,8.62,20.597,0.668,88.682,35.608,10.161,1.451,Medium
Edge,Air,NA,Peak,0.858,67.66,78.997,19.328,37.917,0.925,87.42,33.648,10.545,1.499,Medium
Storage,Hybrid,NA,Peak,0.999,89.137,46.792,17.19,23.582,0.703,77.101,30.886,9.509,1.719,Low
Storage,Liquid,NA,Off-Peak,0.909,74.69,88.299,28.535,18.106,1.0,87.832,34.732,9.578,1.216,High
GPU,Hybrid,ME,Off-Peak,0.799,59.44,94.31,15.292,19.47,0.708,175.978,92.046,9.468,1.71,Low
GPU,Liquid,APAC,Off-Peak,0.773,69.688,78.867,16.206,24.696,0.839,126.945,76.115,10.647,1.628,Low
Storage,Air,ME,Off-Peak,0.685,55.806,63.169,36.567,28.621,0.885,89.765,44.703,4.882,1.773,Low
Compute,Liquid,EU,Off-Peak,0.868,68.946,67.315,16.396,16.535,0.884,83.894,21.324,15.116,1.484,Medium
Compute,Liquid,EU,Night,0.544,48.828,86.019,18.177,15.0,1.0,117.765,28.886,21.002,1.25,High
Edge,Air,NA,Off-Peak,0.264,23.664,40.009,7.183,23.778,0.829,54.911,19.317,6.579,1.667,Low
Compute,Air,EU,Peak,0.791,56.582,85.856,9.33,26.137,0.867,77.702,24.845,14.068,1.424,Medium
Compute,Air,EU,Peak,0.928,75.001,97.556,12.683,27.099,0.812,86.282,22.891,14.747,1.73,Low
Storage,Liquid,APAC,Off-Peak,0.407,35.486,70.081,25.694,17.997,0.931,51.001,32.385,3.851,1.447,Medium
Storage,Hybrid,EU,Night,0.805,59.889,81.415,12.445,25.445,0.798,72.097,20.941,12.454,1.505,Medium
Storage,Liquid,NA,Peak,0.346,32.951,9.156,17.879,25.988,1.0,54.367,23.442,6.033,1.36,High
Edge,Hybrid,APAC,Off-Peak,0.948,83.781,88.176,13.213,25.854,0.817,69.622,43.055,5.359,1.524,Medium
Compute,Air,APAC,Peak,0.715,58.776,73.318,23.552,21.297,0.781,79.939,47.513,6.558,1.269,High
Compute,Hybrid,EU,Peak,0.612,52.71,70.36,12.981,16.529,0.751,80.647,20.026,14.849,1.723,Low
Compute,Hybrid,EU,Off-Peak,0.802,64.279,70.849,10.296,17.926,0.726,76.844,19.12,13.344,1.679,Low
GPU,Air,NA,Peak,0.832,71.854,89.618,18.361,26.577,0.781,113.929,44.693,13.489,1.605,Low
Storage,Hybrid,EU,Off-Peak,0.903,79.098,93.926,12.775,23.188,0.887,85.111,24.803,15.54,1.687,Low
Compute,Air,NA,Night,0.911,70.095,78.991,11.3,19.713,0.893,87.456,35.544,10.398,1.559,Medium
GPU,Hybrid,NA,Night,0.147,18.097,36.429,4.281,19.944,0.875,129.901,51.781,15.761,1.478,Medium
GPU,Hybrid,EU,Peak,0.211,19.531,65.42,13.862,27.023,0.785,102.405,26.403,17.495,1.813,Low
GPU,Liquid,NA,Off-Peak,0.843,62.1,71.608,13.785,23.027,0.782,116.058,44.203,14.799,1.541,Low
Edge,Liquid,APAC,Night,0.951,70.633,89.222,16.145,15.0,0.902,70.835,41.433,5.869,1.178,High
Compute,Air,APAC,Peak,0.377,36.584,63.113,8.773,24.238,0.984,69.245,41.915,5.757,1.549,Medium
GPU,Liquid,NA,Off-Peak,0.108,11.949,62.359,16.771,15.269,0.893,94.016,36.145,11.243,1.373,High
Storage,Air,APAC,Night,0.39,36.04,43.395,16.226,15.0,0.776,69.683,40.795,5.982,1.495,Medium
GPU,Liquid,EU,Peak,0.445,34.579,56.236,9.598,21.746,0.998,91.597,23.141,15.572,1.526,Medium
GPU,Liquid,NA,Night,0.785,65.568,53.148,12.042,15.0,1.0,110.021,42.8,13.246,1.05,High
GPU,Hybrid,EU,Off-Peak,0.143,17.538,48.114,7.848,17.384,0.762,88.53,19.748,16.217,1.184,High
Storage,Air,EU,Peak,0.291,25.942,63.456,5.682,19.424,0.791,58.054,15.304,10.937,1.645,Low
Compute,Hybrid,EU,Off-Peak,0.905,68.829,84.121,11.551,24.062,0.877,80.845,17.722,14.301,1.233,High
Storage,Hybrid,ME,Peak,0.239,22.301,52.132,16.737,24.694,0.718,56.108,29.897,2.926,1.547,Low
Edge,Liquid,EU,Peak,0.783,65.338,79.068,32.53,28.624,0.954,68.943,16.834,12.554,1.689,Low
Edge,Air,ME,Off-Peak,0.425,37.494,61.645,7.667,26.558,0.838,66.675,34.693,3.484,1.498,Medium
Compute,Air,EU,Off-Peak,0.696,55.609,58.894,16.48,21.166,0.867,84.639,21.846,15.077,1.39,Medium
Compute,Air,NA,Off-Peak,0.166,29.749,66.072,6.222,25.627,0.89,75.925,29.505,9.169,1.512,Medium
Compute,Liquid,EU,Peak,0.358,29.836,50.884,15.374,20.971,0.931,85.108,23.341,15.59,1.479,Medium
GPU,Liquid,NA,Night,0.482,37.434,75.411,7.336,17.426,0.993,104.513,42.043,12.875,1.312,High
GPU,Hybrid,EU,Off-Peak,0.871,68.122,59.454,11.238,18.822,0.719,109.429,28.536,19.737,1.33,Medium
Compute,Air,EU,Night,0.607,46.344,98.0,13.792,23.05,0.813,79.663,20.318,13.875,1.639,Low
Storage,Air,EU,Night,0.141,18.917,82.689,4.266,19.72,0.912,45.28,12.223,8.228,1.283,High
GPU,Liquid,NA,Peak,0.822,62.978,55.141,15.021,19.538,0.794,109.524,43.789,13.244,1.601,Low
GPU,Hybrid,EU,Peak,0.149,25.879,53.861,8.504,22.603,0.943,126.247,31.264,21.749,1.332,High
Storage,Hybrid,NA,Night,0.941,74.583,64.8,26.783,20.961,0.852,65.949,24.202,7.861,1.689,Low
Storage,Hybrid,EU,Off-Peak,0.291,26.421,52.663,7.111,17.41,0.92,175.088,43.772,31.516,1.325,High
Storage,Air,APAC,Peak,0.539,49.894,77.662,33.019,26.074,0.604,56.41,33.47,3.391,1.601,Low
Compute,Liquid,ME,Off-Peak,0.165,12.636,65.391,12.423,15.0,0.834,62.23,32.698,3.416,1.439,Medium
Storage,Hybrid,NA,Peak,0.606,47.524,57.315,8.442,21.437,0.784,81.349,30.018,9.485,1.427,Medium
Storage,Air,EU,Peak,0.548,49.519,58.099,9.976,23.298,0.738,49.097,11.772,8.189,1.518,Low
GPU,Air,EU,Off-Peak,0.469,38.268,74.539,17.383,25.421,0.715,94.289,25.846,16.889,1.472,Medium
Storage,Air,ME,Peak,0.132,17.758,42.332,8.989,26.148,0.75,44.336,22.239,2.697,1.506,Low
GPU,Air,EU,Night,0.891,69.364,77.803,25.803,23.819,0.759,110.511,26.794,18.499,1.572,Low
Compute,Liquid,NA,Night,0.822,74.298,59.533,14.014,19.811,1.0,88.367,34.097,10.901,1.301,High
Storage,Air,EU,Off-Peak,0.67,55.583,78.17,9.409,29.468,0.576,57.997,14.702,9.735,1.463,Low
Compute,Air,EU,Peak,0.615,45.278,59.893,14.918,20.102,0.949,79.958,22.374,14.301,1.596,Medium
Compute,Air,APAC,Peak,0.725,57.672,69.513,16.691,23.149,0.875,91.719,54.636,6.391,1.747,Low
GPU,Liquid,APAC,Peak,0.23,19.086,53.049,3.464,16.723,0.881,84.983,50.419,6.54,1.415,Medium
Edge,Air,NA,Off-Peak,0.939,74.087,91.99,24.019,24.46,0.729,66.465,28.707,8.272,1.79,Low
Compute,Liquid,ME,Peak,0.356,33.163,74.332,11.22,21.993,0.84,68.777,32.695,3.614,1.587,Low
Storage,Air,NA,Off-Peak,0.691,56.41,72.582,16.265,20.865,0.935,70.506,25.829,7.638,1.245,High
GPU,Air,ME,Off-Peak,0.646,60.446,79.899,9.381,24.103,0.974,117.346,58.143,5.308,1.585,Medium
Compute,Air,APAC,Night,0.673,50.094,74.305,12.53,24.579,0.705,91.549,53.769,6.589,1.653,Low
Storage,Air,EU,Night,0.891,70.297,63.108,33.618,16.193,0.886,68.663,18.982,11.083,1.353,High
GPU,Air,APAC,Off-Peak,0.366,30.414,48.298,11.252,22.891,0.818,86.516,52.87,7.252,1.272,High
Storage,Air,NA,Off-Peak,0.774,62.326,71.464,14.151,23.559,0.995,95.18,39.443,11.393,1.411,High
Compute,Hybrid,NA,Peak,0.639,52.699,71.053,9.4,19.762,0.822,64.463,24.216,8.737,1.348,High
Compute,Liquid,NA,Peak,0.168,18.512,54.774,4.969,18.089,0.978,51.09,21.977,6.419,1.422,High
GPU,Air,NA,Night,0.473,38.754,46.745,9.419,20.252,0.824,108.743,46.112,13.654,1.388,Medium
Storage,Air,EU,Off-Peak,0.854,69.193,75.475,12.182,23.804,0.88,233.63,58.407,42.053,1.334,High
Compute,Hybrid,NA,Peak,0.384,34.755,68.81,10.586,25.942,0.827,76.105,29.01,9.443,1.509,Medium
GPU,Liquid,APAC,Off-Peak,0.534,51.466,86.142,7.927,20.222,0.885,118.073,69.751,9.663,1.367,High
Compute,Air,EU,Night,0.54,42.872,62.975,20.815,23.104,0.851,83.391,21.004,14.952,1.522,Medium
GPU,Liquid,EU,Peak,0.656,61.402,49.449,14.268,23.949,0.877,116.095,26.491,21.698,1.342,High
Compute,Liquid,EU,Peak,0.896,75.88,74.045,11.085,25.726,1.0,78.729,19.393,14.152,1.665,Low
Edge,Liquid,NA,Night,0.256,22.306,62.056,29.735,17.298,0.926,35.416,14.501,5.25,1.214,High
Compute,Air,NA,Off-Peak,0.554,46.8,56.622,8.591,17.467,0.882,118.118,47.436,14.768,1.159,High
Compute,Air,NA,Off-Peak,0.482,38.608,56.513,14.534,27.561,0.727,80.942,31.274,9.535,1.666,Low
Compute,Air,APAC,Peak,0.366,39.181,75.705,15.168,31.496,0.859,79.334,45.257,6.506,1.445,Medium
Compute,Hybrid,EU,Night,0.928,69.099,69.276,12.236,18.74,0.746,83.989,22.709,14.508,1.4,Medium
GPU,Liquid,NA,Night,0.107,11.281,54.798,10.275,22.741,0.778,89.333,36.422,11.313,1.536,Low
Edge,Air,APAC,Off-Peak,0.21,26.566,43.097,4.044,25.005,0.95,29.905,18.558,3.732,1.344,High
Compute,Hybrid,NA,Peak,0.76,65.902,71.637,13.745,24.946,0.854,91.243,37.067,10.945,1.673,Low
Storage,Hybrid,EU,Off-Peak,0.337,28.883,50.751,7.604,37.302,0.862,46.096,16.21,8.316,1.442,Medium
GPU,Hybrid,EU,Peak,0.751,57.882,58.217,13.905,18.556,0.811,104.331,28.651,18.726,1.427,Medium
GPU,Hybrid,APAC,Peak,0.849,68.612,50.653,21.11,23.419,0.906,110.295,66.242,8.689,1.752,Low
Storage,Hybrid,ME,Peak,0.329,38.249,68.73,20.722,27.977,0.85,67.133,35.949,3.026,1.667,Low
Compute,Air,APAC,Peak,0.273,35.95,50.451,13.829,27.165,0.828,76.993,42.581,5.87,2.528,Low
Storage,Hybrid,EU,Night,0.231,33.653,46.282,8.994,18.825,0.739,71.592,16.466,12.711,1.373,Medium
Storage,Hybrid,NA,Peak,0.28,25.513,56.491,20.033,18.429,0.79,77.305,31.215,9.366,1.29,High
Compute,Air,APAC,Off-Peak,0.34,32.812,72.137,9.287,25.863,0.689,110.536,65.892,9.235,1.491,Low
Storage,Air,EU,Peak,0.882,72.365,78.621,23.17,25.207,0.982,194.037,48.509,34.927,1.644,Low
Compute,Hybrid,NA,Off-Peak,0.793,68.426,72.661,27.534,21.791,0.915,85.767,34.636,10.143,1.275,High
GPU,Air,APAC,Peak,0.102,16.28,71.488,16.218,24.006,0.736,77.131,44.458,6.941,1.527,Low
Compute,Hybrid,NA,Off-Peak,0.887,73.681,85.919,23.485,23.179,0.88,110.099,42.308,13.209,1.376,High
Storage,Air,NA,Off-Peak,0.171,19.334,60.263,17.517,26.262,0.751,51.35,25.852,5.422,1.414,Medium
Storage,Air,ME,Night,0.69,57.615,74.572,17.689,21.922,0.883,97.01,48.849,5.081,1.354,High
Storage,Air,EU,Off-Peak,0.236,25.268,69.693,8.845,27.346,0.966,77.323,20.419,14.19,1.887,Low
Compute,Air,NA,Peak,0.156,17.658,66.507,14.615,28.029,0.641,67.31,25.494,7.696,1.469,Low
Storage,Liquid,APAC,Peak,0.784,68.18,81.861,10.019,22.099,0.906,66.185,40.754,5.374,1.413,Medium
Storage,Liquid,APAC,Off-Peak,0.52,42.491,54.631,33.392,18.081,0.755,57.327,32.95,3.56,1.514,Low
Storage,Air,NA,Peak,0.639,50.99,62.321,11.169,23.849,0.802,81.819,35.266,9.437,1.265,High
Storage,Air,EU,Off-Peak,0.483,44.007,72.281,11.536,17.461,0.767,70.246,19.584,12.156,1.545,Low
Storage,Air,APAC,Night,0.16,21.253,62.292,9.398,18.001,0.803,81.441,48.918,5.814,1.3,High
GPU,Air,NA,Night,0.766,55.691,90.038,15.64,20.612,0.889,106.462,43.826,13.084,1.426,Medium
Compute,Liquid,EU,Night,0.838,73.022,94.768,12.908,17.961,0.775,91.047,21.849,16.311,1.05,High
GPU,Air,NA,Night,0.137,0.129,70.327,16.954,21.226,0.875,94.245,33.757,11.322,1.62,Low
Storage,Air,APAC,Off-Peak,0.438,32.527,32.443,12.067,25.815,0.979,91.459,52.676,7.268,1.239,High
Compute,Air,APAC,Off-Peak,0.602,53.289,78.896,18.16,23.85,0.974,79.329,48.572,6.076,1.547,Medium
Compute,Air,NA,Peak,0.645,52.866,66.658,19.617,23.015,0.823,79.446,33.025,9.258,1.676,Low
Compute,Air,APAC,Night,0.62,1.456,53.985,19.996,18.953,0.932,68.588,39.317,5.449,1.375,High
GPU,Air,APAC,Peak,0.724,69.89,61.067,10.704,26.504,0.583,151.02,90.554,11.938,1.58,Low
GPU,Hybrid,NA,Off-Peak,0.97,82.418,56.386,22.383,17.659,0.946,136.86,51.933,16.852,1.206,High
GPU,Hybrid,EU,Peak,0.452,39.181,78.596,11.491,22.236,0.812,97.057,24.358,18.046,1.49,Medium
Storage,Hybrid,NA,Peak,0.601,51.173,75.263,12.961,24.628,0.88,59.307,27.046,6.342,1.537,Medium
Storage,Air,ME,Off-Peak,0.729,67.188,41.75,14.556,20.197,0.858,72.5,34.493,3.919,1.682,Low
Compute,Air,EU,Peak,0.633,52.283,69.459,17.912,23.459,0.805,61.802,12.392,11.373,1.365,Medium
Compute,Liquid,EU,Off-Peak,0.448,34.77,45.452,14.09,18.984,0.944,131.468,37.137,24.448,1.05,High
Storage,Liquid,EU,Off-Peak,0.662,58.497,81.486,36.553,19.55,0.94,59.873,13.955,10.887,1.301,High
Compute,Hybrid,EU,Off-Peak,0.685,53.637,51.608,12.397,22.255,0.744,86.04,16.906,15.491,1.816,Low
Compute,Air,APAC,Peak,0.626,51.121,32.207,26.16,25.151,0.74,86.442,50.151,6.153,1.533,Low
Storage,Air,EU,Off-Peak,0.285,24.935,65.905,6.582,22.693,0.768,57.826,13.074,10.641,1.502,Medium
GPU,Liquid,ME,Night,0.555,50.689,76.17,27.551,16.037,1.0,99.484,51.649,3.837,1.3,High
Edge,Hybrid,EU,Peak,0.896,64.554,85.134,34.913,26.443,0.882,88.691,22.917,15.59,1.46,Medium
Edge,Hybrid,NA,Off-Peak,0.882,67.742,69.431,32.61,18.538,0.886,64.688,26.357,7.849,1.35,High
Storage,Liquid,ME,Off-Peak,0.776,62.422,70.291,24.374,21.982,0.961,62.753,29.611,2.989,1.715,Low
Storage,Hybrid,EU,Night,0.727,53.552,77.785,11.947,19.025,0.977,78.862,20.759,13.718,1.406,High
Storage,Liquid,EU,Off-Peak,0.238,21.563,75.333,5.426,18.476,0.989,63.971,14.25,12.197,1.352,High
GPU,Hybrid,ME,Peak,0.514,46.347,62.338,16.754,23.611,0.9,98.894,49.592,4.427,1.469,Medium
Compute,Hybrid,NA,Night,0.2,30.543,53.443,5.652,16.453,0.978,55.571,22.74,6.959,1.458,Medium
Storage,Hybrid,EU,Night,0.836,61.974,36.487,16.427,21.724,0.806,97.408,26.407,17.62,1.555,Low
GPU,Air,NA,Off-Peak,0.362,35.492,63.295,12.194,24.807,0.874,207.306,82.922,24.877,1.626,Low
Compute,Air,EU,Off-Peak,0.79,69.901,91.008,9.032,21.395,0.774,98.504,25.182,18.222,1.316,High
Storage,Liquid,APAC,Off-Peak,0.833,64.449,82.489,12.075,20.448,1.0,73.254,46.092,5.793,1.286,High
Storage,Air,ME,Off-Peak,0.903,72.95,88.475,33.158,21.327,0.789,76.788,36.704,3.488,1.512,Medium
Compute,Hybrid,EU,Off-Peak,0.778,61.729,77.741,18.337,18.076,0.601,127.702,30.196,23.742,1.751,Low
Compute,Air,APAC,Night,0.608,50.588,71.718,19.147,21.867,0.908,72.665,45.268,6.836,1.609,Low
Compute,Air,ME,Night,0.638,58.08,53.598,11.107,20.547,0.74,82.995,41.273,4.13,1.389,Medium
Compute,Liquid,EU,Off-Peak,0.389,34.484,53.369,11.512,18.616,0.794,58.29,16.805,10.134,1.423,Medium
Compute,Air,NA,Night,0.259,27.003,41.495,9.839,24.121,0.671,81.123,31.251,8.932,1.644,Low
GPU,Air,EU,Peak,0.218,17.09,69.512,9.172,27.006,0.795,101.087,25.055,18.846,1.678,Low
Compute,Air,ME,Peak,0.264,31.922,77.866,7.238,27.39,0.842,68.265,32.422,2.594,1.63,Low
Storage,Liquid,ME,Off-Peak,0.941,71.498,91.491,28.019,16.253,1.0,73.596,35.855,4.133,1.176,High
Compute,Air,EU,Off-Peak,0.248,21.729,44.03,5.264,22.798,0.792,80.038,18.663,13.458,1.416,Medium
Edge,Hybrid,APAC,Peak,0.751,59.413,65.416,9.573,25.134,0.824,65.556,37.915,3.969,1.684,Low
Compute,Air,NA,Off-Peak,0.266,26.365,36.833,7.731,26.286,0.742,84.183,32.617,11.022,1.791,Low
Storage,Hybrid,NA,Peak,0.978,82.225,57.632,12.04,22.854,0.715,80.337,33.499,9.543,1.424,Medium
GPU,Air,ME,Off-Peak,0.43,35.98,46.359,9.494,19.332,0.896,109.14,57.386,4.361,2.54,High
GPU,Air,NA,Night,0.471,48.412,85.363,25.461,22.919,0.827,103.971,41.148,12.846,1.443,Medium
Compute,Air,NA,Off-Peak,0.464,1.341,59.15,11.67,25.11,0.903,60.632,24.202,7.907,1.423,Medium
GPU,Air,EU,Peak,0.835,65.1,52.135,11.408,24.889,0.879,106.317,27.919,19.225,1.418,Medium
Storage,Liquid,EU,Night,0.296,34.14,49.427,8.137,18.419,0.922,58.233,14.456,10.948,1.424,Medium
Storage,Air,EU,Off-Peak,0.848,61.67,87.891,11.014,18.96,0.748,70.41,18.34,12.208,1.543,Low
Compute,Air,NA,Night,0.691,65.889,71.006,16.163,23.605,0.841,87.027,33.513,10.43,1.335,High
Compute,Liquid,ME,Off-Peak,0.298,33.094,45.597,18.808,20.445,0.824,89.557,43.957,4.263,1.372,Medium
GPU,Air,ME,Night,0.159,12.952,77.351,7.146,18.916,0.673,73.815,37.874,3.473,1.31,Medium
Storage,Air,NA,Night,0.797,60.895,77.252,14.88,25.105,0.774,82.42,34.157,10.063,1.506,Medium
Storage,Liquid,EU,Off-Peak,0.297,26.087,49.226,13.512,15.0,0.85,51.518,14.237,9.214,1.407,Medium
GPU,Hybrid,APAC,Peak,0.9,66.047,72.098,11.457,23.433,0.967,123.996,73.921,10.332,1.458,Medium
GPU,Air,EU,Off-Peak,0.217,22.584,72.94,19.243,26.806,0.756,102.698,28.027,18.677,1.592,Low
Compute,Air,NA,Off-Peak,0.655,55.503,57.471,30.499,29.142,0.859,96.584,38.75,11.637,1.787,Low
Storage,Hybrid,EU,Off-Peak,0.723,55.348,76.439,9.279,17.938,0.751,71.585,21.412,12.558,1.473,Medium
Compute,Air,NA,Peak,0.692,57.164,73.015,36.41,25.722,0.877,85.97,34.477,9.85,1.501,Medium
GPU,Hybrid,NA,Off-Peak,0.384,29.383,49.986,6.348,20.62,0.885,87.53,36.174,10.938,1.341,High
Storage,Air,EU,Off-Peak,0.888,69.195,58.723,10.894,23.042,0.865,76.633,17.767,13.912,1.415,Medium
Edge,Hybrid,EU,Night,0.793,59.797,36.428,22.967,19.359,0.925,56.081,11.085,10.161,1.343,High
Compute,Air,APAC,Off-Peak,0.559,42.81,59.692,14.131,24.317,0.856,85.793,53.457,6.093,1.458,Medium
Compute,Hybrid,APAC,Peak,0.643,47.031,39.695,10.693,29.775,0.865,69.357,41.965,5.543,1.779,Low
Compute,Air,NA,Peak,0.61,59.745,40.426,16.029,28.622,0.728,74.798,31.676,9.371,1.643,Low
Compute,Liquid,APAC,Peak,0.952,1.213,42.16,20.812,16.546,0.951,104.521,64.745,8.918,1.05,High
Compute,Air,NA,Peak,0.907,77.453,67.526,20.908,22.688,0.753,84.301,36.911,11.147,1.418,Medium
Edge,Air,EU,Peak,0.312,27.808,73.521,9.187,27.286,0.836,68.381,18.664,12.241,1.71,Low
Compute,Liquid,APAC,Off-Peak,0.336,41.626,43.929,8.217,15.682,0.994,73.789,45.089,5.684,1.05,High
Compute,Liquid,EU,Night,0.983,74.649,90.656,12.724,15.0,0.88,88.008,20.653,16.743,1.298,High
GPU,Hybrid,EU,Peak,0.313,27.582,77.875,7.154,21.763,0.662,114.861,27.442,20.765,1.734,Low
Storage,Air,EU,Off-Peak,0.958,80.471,58.876,16.821,25.496,0.864,70.523,16.702,13.633,1.395,Medium
GPU,Hybrid,ME,Off-Peak,0.685,55.248,38.397,20.482,23.888,0.825,97.743,46.858,4.801,1.108,High
Compute,Air,EU,Night,0.145,13.325,72.691,4.224,18.34,0.842,63.389,18.435,11.842,1.133,High
Storage,Hybrid,APAC,Night,0.402,34.354,81.308,18.557,15.0,0.75,49.964,28.112,4.4,1.35,Medium
Compute,Hybrid,ME,Peak,0.529,41.452,64.686,17.462,26.117,0.953,77.424,40.683,3.148,1.584,Medium
Compute,Air,APAC,Peak,0.85,66.439,72.912,21.736,27.358,0.899,82.327,50.082,7.37,1.686,Low
Edge,Hybrid,EU,Peak,0.396,34.472,63.433,4.642,23.428,0.852,50.945,9.592,8.953,1.604,Low
Compute,Hybrid,NA,Off-Peak,0.38,30.941,67.963,12.909,35.797,0.759,83.139,33.61,10.26,1.512,Low
Storage,Air,NA,Off-Peak,0.928,81.772,85.508,27.058,22.96,0.895,69.103,27.226,8.706,1.47,Medium
Storage,Liquid,EU,Peak,0.171,29.475,50.822,8.081,21.412,1.0,59.252,12.056,10.387,1.352,High
Compute,Air,APAC,Night,0.596,54.442,49.864,19.883,19.345,0.868,167.132,101.231,12.866,1.409,Medium
GPU,Hybrid,EU,Off-Peak,0.554,40.093,58.583,17.203,24.842,0.819,101.852,27.955,17.609,1.501,Medium
Compute,Air,ME,Night,0.152,18.896,58.91,9.882,15.0,0.758,60.167,27.518,3.074,1.387,Medium
Storage,Air,NA,Peak,0.179,30.386,66.49,6.785,28.216,0.807,53.422,22.039,6.649,1.568,Low
Edge,Air,APAC,Peak,0.444,40.278,77.665,12.146,22.56,0.948,59.135,36.472,5.436,1.36,High
Storage,Liquid,EU,Peak,0.221,19.093,69.626,12.015,15.139,1.0,62.65,16.816,10.386,1.408,High
Edge,Hybrid,EU,Peak,0.53,44.476,70.18,29.885,24.317,0.786,61.88,16.793,11.893,1.512,Medium
Compute,Hybrid,APAC,Off-Peak,0.648,58.36,60.122,12.626,22.76,0.954,72.548,45.76,6.109,1.387,High
Storage,Air,NA,Peak,0.722,69.047,41.576,19.535,24.27,0.675,67.127,29.061,8.585,1.509,Low
Compute,Air,NA,Off-Peak,0.592,45.576,79.488,17.676,24.67,0.696,110.569,46.035,13.65,1.578,Low
GPU,Liquid,EU,Peak,0.442,34.262,91.749,11.22,15.354,0.987,110.097,28.449,19.52,1.304,High
Edge,Liquid,EU,Peak,0.217,17.83,53.351,5.747,24.772,1.0,58.699,17.077,10.144,1.291,High
Compute,Air,APAC,Night,0.323,29.592,76.855,20.984,17.594,0.966,65.761,43.692,5.063,1.168,High
Storage,Air,ME,Night,0.477,35.569,41.833,12.296,23.521,0.725,45.035,21.532,2.937,1.632,Low
Compute,Liquid,NA,Off-Peak,0.932,68.93,66.05,14.989,19.163,1.0,112.704,44.914,14.013,1.336,High
Storage,Air,EU,Night,0.282,22.656,41.659,13.238,21.246,0.902,61.032,16.439,11.043,1.383,High
Storage,Liquid,EU,Off-Peak,0.472,44.179,88.428,7.939,15.0,0.839,55.113,11.43,10.334,1.374,Medium
